district,district_name,predictor_name,predictor_long_name
01,SP – Denver Gage to Greeley,may_fx_apr_to_sep,NRCS May 1 Apr-Sep forecast
02,SP – Greeley to Balzac,may_swe,May 1 SWE
03,Cache La Poudre River,may_swe,May 1 SWE
04,Big Thompson River,may_fx_apr_to_sep,NRCS May 1 Apr-Sep forecast
05,St. Vrain Creek,may_swe,May 1 SWE
06,Boulder Creek,may_swe,May 1 SWE
07,Clear Creek,may_fx_apr_to_sep,NRCS May 1 Apr-Sep forecast
08,SP – Cheesman to Denver Gage,may_fx_apr_to_sep,NRCS May 1 Apr-Sep forecast
09,Bear Creek,may_swe,May 1 SWE
23,Upper South Platte,may_fx_apr_to_sep,NRCS May 1 Apr-Sep forecast
64,SP – Balzac to Stateline,may_fx_apr_to_sep,NRCS May 1 Apr-Sep forecast
80,North Fork of the South Platte,may_fx_apr_to_sep,NRCS May 1 Apr-Sep forecast
