year,district,call_year,wdid,gnis_id,may_swe,peak_swe,apr_fx_apr_to_sep,may_fx_apr_to_sep,apr_eddi30d,may_eddi30d,apr_eddi90d,may_eddi90d,apr_eddi180d,may_eddi180d,apr_eddi1y,may_eddi1y
1970,01,1939.5672043010752,0100839,201759,NA,NA,302,333,NA,NA,NA,NA,NA,NA,NA,NA
1970,01,1939.5672043010752,0100843,201759,NA,NA,302,333,NA,NA,NA,NA,NA,NA,NA,NA
1970,01,1939.5672043010752,0102003,201759,NA,NA,302,333,NA,NA,NA,NA,NA,NA,NA,NA
1970,02,1941.744623655914,0200740,201759,NA,NA,302,333,NA,NA,NA,NA,NA,NA,NA,NA
1970,02,1941.744623655914,0201015,201759,NA,NA,302,333,NA,NA,NA,NA,NA,NA,NA,NA
1970,02,1941.744623655914,0203375,184959,NA,NA,302,333,NA,NA,NA,NA,NA,NA,NA,NA
1970,04,1943.6102150537631,0400766,205019,NA,NA,132,140,NA,NA,NA,NA,NA,NA,NA,NA
1970,04,1943.6102150537631,0400861,177565,NA,NA,132,140,NA,NA,NA,NA,NA,NA,NA,NA
1970,04,1943.6102150537631,0400868,177536,NA,NA,132,140,NA,NA,NA,NA,NA,NA,NA,NA
1970,04,1943.6102150537631,0404167,177922,NA,NA,132,140,NA,NA,NA,NA,NA,NA,NA,NA
1970,05,1943.6102150537631,0500991,205012,NA,NA,100,115,NA,NA,NA,NA,NA,NA,NA,NA
1970,05,1943.6102150537631,0502131,178186,NA,NA,100,115,NA,NA,NA,NA,NA,NA,NA,NA
1970,05,1943.6102150537631,0504081,178348,NA,NA,100,115,NA,NA,NA,NA,NA,NA,NA,NA
1970,06,1943.6102150537631,0602105,180974,NA,NA,70,78,NA,NA,NA,NA,NA,NA,NA,NA
1970,06,1943.6102150537631,0604256,178467,NA,NA,70,78,NA,NA,NA,NA,NA,NA,NA,NA
1970,64,1935.4139784946235,6400503,201759,NA,NA,302,333,NA,NA,NA,NA,NA,NA,NA,NA
1970,64,1935.4139784946235,6402411,201759,NA,NA,302,333,NA,NA,NA,NA,NA,NA,NA,NA
